column,word
cleaned_mental_wellness_causes,advice
cleaned_mental_wellness_causes,share
cleaned_mental_wellness_causes,listen
cleaned_mental_wellness_causes,perspective
cleaned_mental_wellness_causes,struggle
cleaned_mental_wellness_causes,problem
cleaned_mental_wellness_causes,talk
cleaned_mental_wellness_causes,good
cleaned_mental_wellness_causes,people
cleaned_mental_wellness_causes,feeling
cleaned_mental_wellness_causes,solve
cleaned_mental_wellness_causes,stress
cleaned_mental_wellness_causes,pressure
cleaned_mental_wellness_causes,inability
cleaned_mental_wellness_causes,school
cleaned_mental_wellness_causes,family
cleaned_mental_wellness_causes,stress
cleaned_mental_wellness_causes,family
cleaned_mental_wellness_causes,lack
cleaned_mental_wellness_causes,work
cleaned_mental_wellness_causes,anxiety
cleaned_mental_wellness_causes,rest
cleaned_mental_wellness_causes,loneliness
cleaned_counselling_help_reason,seek help 
cleaned_counselling_help_reason,professional advice
cleaned_counselling_help_reason,share confidential information
cleaned_counselling_help_reason,solve problem
cleaned_counselling_help_reason,insight
cleaned_counselling_help_reason,need
cleaned_counselling_help_reason,help
cleaned_counselling_help_reason,professional
cleaned_counselling_help_reason,issue
cleaned_counselling_help_reason,resolve
cleaned_counselling_help_reason,seek
cleaned_counselling_help_reason,personal
cleaned_counselling_help_reason,stigma
cleaned_counselling_help_reason,advise
cleaned_counselling_help_reason,friend
